Country,price_2017,ppp_2017,price_2016,ppp_2016,price_2015,ppp_2015,price_2014,ppp_2014,price_2013,ppp_2013,price_2012,ppp_2012,price_2011,ppp_2011,price_2010,ppp_2010,price_2009,ppp_2009,price_2008,ppp_2008,price_2007,ppp_2007,price_2006,ppp_2006,price_2005,ppp_2005,price_2004,ppp_2004,price_2003,ppp_2003,price_2002,ppp_2002,price_2001,ppp_2001,price_2000,ppp_2000
Denmark,4.606490545178156,5.660377358490567,4.43974160703847,5.9523809523809526,5.078512123681372,7.221294363256786,5.14551888495703,5.9436913451511995,4.913284832603524,6.254572055596196,4.645022491687854,6.58578856152513,5.482403408708365,7.011070110701106,4.902255897757863,7.633928571428571,5.526932084309133,8.263305322128852,5.9518748405747814,7.843137254901961,5.0821383440470305,8.13782991202346,4.769475357710652,8.951612903225806,4.57565914224941,9.068627450980392,4.46,9.568965517241379,3.99,10.239852398523986,2.96,9.939759036144578,2.93,9.744094488188976,3.08,9.860557768924304
Egypt,1.7539837852949398,5.9188679245283025,2.5901046740128044,4.563492063492063,2.162182872395451,3.5344467640918578,2.367815609681051,3.5307612095933263,2.3897334198868623,3.675932699341624,2.6374350943707245,3.6972848064702486,2.36330090573633,3.466174661746617,2.2811019477101246,3.482142857142857,2.3277675813599537,3.641456582633053,2.447058823529412,3.641456582633053,1.6765519968366942,2.7976539589442813,1.6462331586015684,3.064516129032258,1.5517241379310345,2.941176470588235,1.62,3.4482758620689657,1.38,2.952029520295203,NA,NA,NA,NA,NA,NA
Euro area,4.4650245,0.7377358490566038,4.205629,0.7579365079365079,4.053905,0.7724425887265136,4.953542471189427,0.7673072553889361,4.659391480737527,0.7952897926735074,4.344434695217903,0.8280721528091805,4.928401834411991,0.8456729154640967,4.332523826510593,0.9053654653843213,4.617119,0.927170868347339,5.342704588,0.9435742296918768,4.166889947951846,0.8966224174116422,3.766916499073989,0.948249525568689,3.5831320000000004,0.9542483660130718,3.28,0.9448275862068967,2.98,1,2.37,1.0722891566265058,2.27,1.0118110236220472,2.38,1.0199203187250998
Hong Kong,2.457914613070473,3.6226415094339623,2.4756943549011012,3.8095238095238093,2.477163647623471,4.008350730688935,2.4256656065131703,3.9207507820646508,2.191667794730973,3.7307973664959766,2.126795692271998,3.812824956672444,1.9379347519186836,3.714637146371463,1.9037328599727303,3.9642857142857144,1.7160183213986195,3.725490196078432,1.7056967707184447,3.725490196078432,1.535400579613719,3.5190615835777126,1.5477280641791236,3.8709677419354835,1.5422776870975619,3.9215686274509802,1.54,4.137931034482759,1.47,4.243542435424354,1.4,4.497991967871485,1.37,4.21259842519685,1.31,4.063745019920319
Hungary,3.2089475284961613,162.64150943396226,3.1508225222194253,178.57142857142858,3.1815858296409263,187.89144050104383,3.7668718078772736,179.35349322210635,3.764302159658937,188.73445501097294,3.484245960898365,191.7966493356442,4.040996977759629,186.96186961869617,3.333796610925437,198.21428571428572,3.615225522287112,201.68067226890759,4.644462899059877,187.67507002801122,3.3294378910008624,175.95307917888562,2.7139093670581804,180.64516129032256,2.6025937547570996,173.20261437908496,2.52,182.75862068965517,2.14,180.8118081180812,1.69,184.33734939759034,1.32,157.08661417322836,1.21,135.0597609561753
India,2.7572319250280755,33.58490566037736,2.4107142857142856,32.142857142857146,1.832728992590257,24.269311064718163,1.7474152815626887,21.8978102189781,1.5005001667222408,19.751280175566936,1.5846167542063563,20.56614673599076,1.8918918918918919,20.664206642066418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,2.4029320468229924,6061.509433962265,2.364156339370829,6150.793650793651,2.2855858218741805,6367.432150313152,2.4284224250325943,5826.694473409802,2.8037129954841946,6131.455742501829,2.5520696018982334,5592.143269786251,2.643904728382025,5543.419434194341,2.51351649564162,6101.785714285714,2.049019607843137,5854.341736694678,2.043269230769231,5238.0952380952385,1.7637271214642263,4662.756598240469,1.5656836461126005,4709.677419354839,1.529596647459403,4771.241830065359,1.77,5551.724137931034,1.81,5940.959409594096,1.71,6425.70281124498,1.35,5787.40157480315,1.83,5776.892430278885
Israel,4.773337099279762,3.188679245283019,4.379656624554583,3.353174603174603,4.631651382217105,3.653444676409186,5.126252270197433,3.6496350364963503,4.799846404915042,3.840526700804682,2.91934989267096,2.7498555748122477,4.671867424743268,3.911439114391144,3.858204510733059,3.991071428571429,3.774297037176826,4.201680672268908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51,4.8192771084337345,NA,NA,3.58,5.776892430278885
Japan,3.3610472315584645,71.69811320754717,3.4668540641836496,73.41269841269842,2.9854359139871707,77.24425887265136,3.644243080862799,77.16371220020855,3.1966435242994855,70.22677395757133,4.091025313219125,73.94569612940498,4.083455624322083,78.72078720787206,3.670566643725625,85.71428571428571,3.4570301949981097,89.6358543417367,2.6203734032099573,78.43137254901961,2.289171401708703,82.11143695014663,2.2300521832210873,80.64516129032258,2.342688469287354,81.69934640522875,2.33,90.3448275862069,2.18,96.6789667896679,2.01,105.22088353413653,2.38,115.74803149606299,2.78,117.13147410358567
Malaysia,2.003027832770467,1.6226415094339623,1.9865905140302955,1.5873015873015872,2.0097202154209906,1.5970772442588728,2.408839779005525,1.5912408759124088,2.2952365980191796,1.6020482809070957,2.331810304080668,1.70999422299249,2.421796165489405,1.7712177121771215,2.1938696125719623,1.888392857142857,1.8795113825652414,1.8963585434173669,1.69857936998147,1.5406162464985995,1.6013975833454652,1.6129032258064515,1.5153602424576387,1.7741935483870968,1.381578947368421,1.7156862745098038,1.33,1.7379310344827588,1.33,1.859778597785978,1.33,2.0240963855421685,1.19,1.7795275590551178,1.19,1.800796812749004
Mexico,2.7542402653064095,9.245283018867925,2.373887240356083,8.73015873015873,3.113137120983497,10.22964509394572,3.24761937900878,8.75912408759124,2.859096757243367,8.119970738844184,2.7032950975378096,8.54997111496245,2.7418974787395842,7.872078720787207,2.5035205758097323,8.571428571428571,2.389503562532584,9.243697478991598,3.1469734965825835,8.96358543417367,2.6932774865220037,8.504398826979472,2.5656678256407535,9.35483870967742,2.576489533011272,9.15032679738562,2.08,8.275862068965518,2.14,8.487084870848708,2.37,8.795180722891565,2.36,8.622047244094487,2.22,8.326693227091633
New Zealand,4.432259999999999,1.150943396226415,4.2213,1.1904761904761905,3.909635,1.2317327766179542,4.94475,1.18873826903024,4.299074999999999,1.207022677395757,4.004519999999999,1.1785095320623917,4.411499999999999,1.2546125461254611,3.59,1.3392857142857142,3.0772129242942823,1.3725490196078434,3.7186005919405023,1.3725490196078434,3.594592482613112,1.348973607038123,2.745202065378992,1.435483870967742,3.1733580546245452,1.4542483660130718,2.65,1.5,2.15,1.4575645756457565,1.77,1.4457831325301205,1.46,1.4173228346456692,1.69,1.354581673306773
Norway,5.914160189253126,9.245283018867925,5.510063518787785,9.285714285714285,5.649335896003095,9.603340292275574,7.757826515604545,10.010427528675704,7.506404921590705,10.095098756400878,7.0583793632685214,9.936452917388793,8.311707501777782,11.07011070110701,7.2043225935561335,12.053571428571429,6.1451012021354225,11.204481792717088,7.875333471151668,11.204481792717088,6.880063296582328,11.730205278592376,7.046523441980893,13.870967741935484,6.062867269844231,12.745098039215685,5.183162751310391,12.241379310344827,NA,NA,4.09,14.056224899598392,NA,NA,NA,NA
Pakistan,3.5663338088445076,70.75471698113208,3.577561534058386,74.4047619047619,3.4414945919370696,73.06889352818372,3.0401297122010535,62.56517205422315,2.99895036737142,65.83760058522311,3.0125257650229904,65.8578856152513,2.375702125195437,50.46248462484624,2.4554223911137094,56.25,2.3002421307506054,53.221288515406165,1.9746121297602255,39.21568627450981,2.3190326321020374,41.05571847507331,2.164682374490051,41.935483870967744,2.1804763502180475,42.48366013071895,1.904432132963989,37.93103448275862,NA,NA,NA,NA,NA,NA,NA,NA
Peru,3.2292787944025836,1.9811320754716981,3.0249406355400277,1.9841269841269842,3.141196795979268,2.0876826722338206,3.586800573888092,2.0855057351407718,3.5932446999640675,2.194586686174104,NA,NA,3.6529680365296806,2.460024600246002,3.5366931918656057,2.6785714285714284,2.661029266036863,2.2565826330532213,3.3450704225352115,2.6610644257703084,2.9996842437638147,2.785923753665689,2.913216804661147,3.064516129032258,2.762244208197628,2.9379084967320264,2.57,3.1,2.28,2.915129151291513,2.48,3.4136546184738954,NA,NA,NA,NA
Philippines,2.649451820509525,25.28301886792453,2.822880186777035,26.38888888888889,3.605197677633398,34.029227557411275,3.703275083902326,33.36809176225235,2.6521639042357275,25.28383321141185,2.796208530805687,27.267475447718084,2.7823626503183214,29.028290282902827,2.194964493221433,27.32142857142857,2.054149013123902,27.840336134453782,1.955715409688659,24.369747899159666,1.8519527207364235,24.926686217008797,1.6152019002375297,27.419354838709676,1.466544454628781,26.143790849673202,1.23,23.79310344827586,1.23,23.985239852398525,1.28,26.10441767068273,1.17,23.228346456692915,NA,NA
Poland,2.723399665642021,1.9056603773584906,2.420788521427761,1.9047619047619047,2.5439898240407035,2.0041753653444676,2.9953767011786154,1.9186652763295098,2.7336205615807456,2.0190197512801755,2.6297917840680856,2.1028307336799537,3.0856693363844396,2.1230012300123002,2.5962651318464767,2.223214285714286,2.4086839394659694,2.1288515406162465,3.4458145659504296,1.9607843137254903,2.507404109962389,2.0234604105571847,2.0973492731878096,2.096774193548387,1.9639835629683344,2.1241830065359477,1.63,2.1724137931034484,1.56,2.3247232472324724,1.46,2.3694779116465865,1.46,2.3228346456692917,1.28,2.1912350597609564
Russia,2.278135387756935,25.849056603773587,2.0502290342396132,25.793650793650794,1.883305465106046,22.338204592901878,2.5547366683650403,18.561001042752867,2.641253958086032,19.092904169714703,2.2890104607778055,17.331022530329292,2.7024592379064947,18.450184501845015,2.332208289193828,19.017857142857142,2.042938294116033,18.76750700280112,2.5394256593898494,16.526610644257705,2.0274287719435047,15.249266862170087,1.7735901344048774,15.483870967741934,1.4785868933833237,13.72549019607843,1.45,14.482758620689655,1.31,15.129151291512915,1.25,15.662650602409638,1.21,13.779527559055119,1.39,15.737051792828687
Saudi Arabia,3.1998720051197953,2.2641509433962264,3.199573390214638,2.380952380952381,3.199530735492128,2.5052192066805845,2.9330595811057636,2.2940563086548487,2.666524452029225,2.194586686174104,2.666488900739951,2.3108030040439056,2.666524452029225,2.460024600246002,2.6663467050620593,2.6785714285714284,2.9330204778157,3.081232492997199,2.6669867050712752,2.801120448179272,2.3997120345558534,2.6392961876832843,2.40064017071219,2.903225806451613,2.399936001706621,2.941176470588235,0.639965868487014,0.8275862068965517,NA,NA,NA,NA,NA,NA,NA,NA
Singapore,4.064745590476882,1.0566037735849056,4.014141562937321,1.0813492063492063,3.439695550351288,0.9812108559498957,3.796445880452343,0.9801876955161627,3.6871420726445443,1.031455742501829,3.496225665474772,1.0167533217793185,3.65353547906052,1.084870848708487,3.0781545626546354,1.1330357142857144,2.881529532263571,1.1820728291316527,2.9199778229532436,1.1064425770308124,2.592288761279738,1.1583577712609971,2.268002268002268,1.1612903225806452,2.1677605828867343,1.1764705882352942,1.92,1.1379310344827587,1.85,1.2177121771217712,1.81,1.325301204819277,1.82,1.2992125984251968,1.88,1.2749003984063747
South Africa,2.260738507912585,5.660377358490567,2.1017602241877573,5.9523809523809526,2.0943167492982027,5.427974947807933,2.330115554710162,5.109489051094891,2.2394187464231505,4.937820043891734,2.3558447386134174,4.610051993067591,2.8734570865065705,4.784747847478474,2.4480859815564253,4.941964285714286,2.1677434937503772,5.028011204481793,2.2411000561927743,4.7478991596638656,2.2234973461483287,4.545454545454545,2.1145975443383356,4.5,2.0983123251406393,4.5588235294117645,1.86,4.275862068965518,1.74,5.14760147601476,0.87,3.8955823293172687,1.19,3.8188976377952755,1.34,3.5856573705179287
South Korea,3.8439697724195168,830.1886792452831,3.856435426618169,873.015873015873,3.760384783559248,897.7035490605427,4.004884004884005,855.0573514077164,3.4340054591881657,855.8888076079005,3.214596003475239,854.997111496245,3.503124408256012,910.2091020910208,2.822865208186309,910.7142857142857,2.586534804108026,952.3809523809524,3.1432640832964984,896.358543417367,3.143631436314363,850.4398826979472,2.624947501049979,806.4516129032257,2.486325211337643,816.9934640522875,2.72,1103.448275862069,2.63,1217.7121771217712,2.36,1244.9799196787149,2.27,1181.1023622047244,2.71,1195.219123505976
Sri Lanka,3.77297121483168,109.43396226415095,3.625170998632011,105.15873015873015,2.614867388868136,73.06889352818372,2.6870369659514033,72.99270072992701,2.8287461773700304,81.19970738844184,2.213740458015267,67.01328711727325,2.5576615665677096,68.88068880688806,1.862114830414542,56.25,1.828312728539091,58.82352941176471,1.9525801952580195,58.82352941176471,1.8850987432675044,61.583577712609966,1.8454664659317177,61.29032258064516,1.7509630296663166,57.18954248366013,1.4141414141414141,48.275862068965516,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,5.818920701312436,9.239622641509435,5.228712542976317,8.916666666666666,5.127513156119282,9.123173277661795,5.953774136922177,8.48800834202294,6.156873770030924,9.131675201170447,5.728681351425409,9.236977438669227,7.639853516858189,11.90651906519065,6.564002414033945,12.964285714285714,4.93099764197164,10.92436974789916,6.374929749951769,10.644257703081234,4.858907629221176,9.67741935483871,4.530135698155686,10.64516129032258,4.166554662509072,10.130718954248366,3.94,10.344827586206897,3.5,11.07011070110701,2.52,10.44176706827309,2.33,9.448818897637794,2.71,9.56175298804781
Switzerland,6.741689571124826,1.2264150943396226,6.591623567589494,1.2896825396825398,6.821998320738875,1.3569937369519833,6.826241134751774,1.2846715328467153,6.719040727723796,1.4264813460131676,6.561679790026247,1.5020219526285385,8.063015567822365,1.5990159901599015,6.185468906123614,1.7410714285714286,5.984991482896736,1.8207282913165266,6.359144939588123,1.8207282913165266,5.201453104359313,1.847507331378299,5.211564710261819,2.032258064516129,5.050100200400801,2.0588235294117645,4.9,2.1724137931034484,4.52,2.3247232472324724,3.81,2.5301204819277108,3.65,2.4803149606299213,3.48,2.350597609561753
Taiwan,2.2639652202444425,13.018867924528303,2.1542976677386116,13.69047619047619,2.5467440361057383,16.49269311064718,2.634914281902475,16.475495307612096,2.6308340409943884,17.33723482077542,2.4838138133165537,17.331022530329292,2.60109592841784,18.450184501845015,2.3360483406269954,20.089285714285715,2.2607044355021024,21.008403361344538,2.470152326060107,21.008403361344538,2.28864374971392,21.994134897360702,2.333468155937899,24.193548387096772,2.405773857257418,24.509803921568626,2.24,25.862068965517242,2.01,25.830258302583026,2.01,28.112449799196785,2.13,27.559055118110237,2.29,27.888446215139446
Thailand,3.496246676362141,22.452830188679247,3.403403403403403,23.61111111111111,3.1683168316831685,22.546972860125262,3.1151667715544367,20.646506777893638,2.84572342126299,19.531821506949523,2.586750788643533,18.948584633160024,2.3529411764705883,17.220172201722015,2.1668472372697725,18.75,1.8876042733791891,18.064425770308123,1.8585131894484412,17.366946778711487,1.7994485560876508,18.18181818181818,1.5606710885680843,19.35483870967742,1.4803849000740192,19.607843137254903,1.45,20.344827586206897,1.37,21.771217712177123,1.27,22.088353413654616,1.21,21.653543307086615,1.45,21.912350597609564
Turkey,3.0061100935389606,2.0283018867924527,3.532639950050114,2.132936507936508,3.874210983860604,2.1398747390396657,4.423191870890616,1.9290928050052139,4.342384224373547,1.8653986832479883,4.5158465159559915,1.906412478336222,3.772818295266564,1.5990159901599015,3.8906689334989863,1.59375,3.6450437082674756,1.5826330532212887,4.317753091595054,1.4425770308123251,3.6591942069178027,1.3929618768328444,2.7246188777165097,1.3548387096774195,2.9218407596785974,1.3071895424836601,2.58,1362068.9655172415,2.28,1383763.8376383765,3.06,1606425.7028112449,NA,NA,NA,NA
UAE,3.811598148652328,2.6415094339622645,3.5392447796139503,2.5793650793650795,3.539389319212077,2.7139874739039667,3.53929295816828,2.7111574556830034,3.2670841274162807,2.633504023408925,3.26712860234961,2.7729636048526864,3.267039653693797,2.9520295202952025,2.9949494261949168,2.946428571428571,2.722570106180234,2.801120448179272,2.7226812965408334,2.801120448179272,2.7226812965408334,2.932551319648094,2.4505799705930404,2.903225806451613,2.450646698434309,2.941176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,1.697858383175767,8.30188679245283,1.5725806451612903,7.738095238095238,1.5489749430523918,7.09812108559499,1.6260162601626016,3.962460896767466,2.3298589822194975,4.169714703730797,1.8551728402696186,3.466204506065858,2.06404803602702,4.059040590405903,1.8356754019496138,3.883928571428571,1.8276762402088773,3.9215686274509807,2.3913043478260874,3.081232492997199,1.8398806563898558,2.7126099706744866,1.6831683168316833,2.7419354838709675,1.432806324110672,2.369281045751634,1.3598424458407576,2.5,NA,NA,NA,NA,NA,NA,NA,NA
United States,5.3,1,5.04,1,4.79,1,4.795,1,4.556666666666667,1,4.3275,1,4.065,1,3.73,1,3.57,1,3.57,1,3.41,1,3.1,1,3.06,1,2.9,1,2.71,1,2.49,1,2.54,1,2.51,1
Uruguay,4.528827730360565,24.528301886792455,4.077573346593734,24.404761904761905,4.132382519656244,23.59081419624217,4.919460165433174,23.56621480709072,4.979843490633152,23.04316020482809,4.526748971193415,22.876949740034664,4.878048780487805,22.14022140221402,3.744075829383886,21.160714285714285,2.632714717306862,17.086834733893557,3.1853785900783294,17.086834733893557,2.589267070369597,18.18181818181818,1.767189132706374,13.638709677419355,1.8238341968911918,14.379084967320262,1.0021859761224148,10.275862068965518,NA,NA,NA,NA,NA,NA,NA,NA
