code,name,city,state,fare,adj_fare,year
PFN,Bay County,Panama City,FL,424.41,689.22,1996
PHO,Point Hope Airport,Point Hope,AK,538.71,874.84,1996
PIZ,Point Lay LRRS,Point Lay,AK,704,1143.26,1996
PKA,Napaskiak Airport,Napaskiak,AK,366,594.37,1996
PKB,Mid-Ohio Valley Regional,Parkersburg,WV,519.19,843.13,1996
PLB,Clinton County,Plattsburgh,NY,393.22,638.57,1996
PNC,Ponca City Regional,Ponca City,OK,393.36,638.8,1996
POU,Hudson Valley Regional,Poughkeepsie,NY,305.2,495.63,1996
PTH,Port Heiden Airport,Port Heiden,AK,347,563.51,1996
RDG,Reading Regional/Carl A Spaatz Field,Reading,PA,444.18,721.32,1996
RIW,Riverton Regional,Riverton/Lander,WY,398.08,646.46,1996
RSH,Russian Mission Airport,Russian Mission,AK,547,888.3,1996
RUI,Sierra Blanca Regional,Ruidoso,NM,232,376.76,1996
RWI,Rocky Mount-Wilson Regional,Rocky Mount,NC,451.34,732.95,1996
SCM,Scammon Bay Airport,Scammon Bay,AK,614,997.1,1996
SGY,Skagway Airport,Skagway,AK,486.33,789.78,1996
SHR,Sheridan County,Sheridan,WY,417.91,678.67,1996
SKK,Shaktoolik Airport,Shaktoolik,AK,853.5,1386.04,1996
SMK,St. Michael Airport,St. Michael,AK,363,589.49,1996
SOP,Moore County,Pinehurst/Southern Pines,NC,351.93,571.51,1996
SPW,Spencer Municipal,Spencer,IA,317.79,516.07,1996
SQI,Whiteside County-Jos H. Bittorf Field,Sterling/Rockfalls,IL,358.2,581.7,1996
TCL,Tuscaloosa Regional,Tuscaloosa,AL,332.18,539.44,1996
TNC,Tin City LRRS,Tin City,AK,395,641.46,1996
TNK,Tununak Airport,Tununak,AK,299,485.56,1996
TUP,Tupelo Regional,Tupelo,MS,439.15,713.16,1996
UCA,Oneida County,Utica/Rome,NY,331.24,537.92,1996
UNK,Unalakleet Airport,Unalakleet,AK,610,990.61,1996
VAK,Chevak Airport,Chevak,AK,787,1278.05,1996
VIS,Visalia Municipal,Visalia,CA,228.77,371.51,1996
WAA,Wales Airport,Wales,AK,1431,2323.87,1996
WAS,Washington DC Metropolitan Area,Washington,DC,590.13,958.33,1996
WBQ,Beaver Airport,Beaver,AK,578,938.64,1996
WDG,Enid Woodring Regional,Enid,OK,438.38,711.9,1996
WLK,Selawik Airport,Selawik,AK,432,701.55,1996
WMH,Baxter County,Mountain Home,AR,517.25,839.99,1996
WRL,Worland Municipal,Worland,WY,340.69,553.27,1996
WTL,Tuntutuliak Airport,Tuntutuliak,AK,430,698.3,1996
WWT,Newtok Airport,Newtok,AK,406,659.32,1996
YKN,Chan Gurney Municipal,Yankton,SD,238.57,387.43,1996
LAX,Los Angeles International,Los Angeles,CA,284.19,448.3,1997
ORD,Chicago O'Hare International,Chicago-O'Hare,IL,351.91,555.13,1997
DEN,Denver International,Denver,CO,333.19,525.6,1997
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,346.51,546.61,1997
SFO,San Francisco International,San Francisco,CA,346.06,545.9,1997
BOS,Logan International,Boston,MA,376.65,594.16,1997
SEA,Seattle/Tacoma International,Seattle,WA,259.19,408.87,1997
EWR,Newark Liberty International,Newark,NJ,382.7,603.69,1997
DFW,Dallas/Fort Worth International,Dallas-DFW,TX,409.09,645.32,1997
JFK,John F. Kennedy International,New York-JFK,NY,361.38,570.06,1997
LGA,LaGuardia,New York-La Guardia,NY,363.87,574,1997
PHX,Phoenix Sky Harbor International,Phoenix,AZ,183.63,289.68,1997
MCO,Orlando International,Orlando,FL,244.98,386.46,1997
MSP,Minneapolis-St Paul International,Minneapolis,MN,396.27,625.1,1997
LAS,McCarran International,Las Vegas,NV,127.76,201.53,1997
PHL,Philadelphia International,Philadelphia,PA,382.77,603.81,1997
SAN,San Diego International,San Diego,CA,227.91,359.52,1997
DTW,Detroit Metro Wayne County,Detroit,MI,329.49,519.76,1997
BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,252.31,398.01,1997
FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,228.54,360.51,1997
DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,353.54,557.71,1997
IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,325.52,513.5,1997
PDX,Portland International,Portland,OR,240.32,379.1,1997
TPA,Tampa International,Tampa,FL,253.88,400.48,1997
AUS,Austin - Bergstrom International,Austin,TX,203.2,320.54,1997
SLC,Salt Lake City International,Salt Lake City,UT,196.3,309.66,1997
SJC,Norman Y. Mineta San Jose International,San Jose,CA,219.58,346.37,1997
MDW,Chicago Midway International,Chicago-Midway,IL,136.53,215.37,1997
CLT,Charlotte Douglas International,Charlotte,NC,466.09,735.24,1997
MIA,Miami International,Miami,FL,290.33,457.98,1997
OAK,Metropolitan Oakland International,Oakland,CA,141.99,223.99,1997
RDU,Raleigh-Durham International,Raleigh/Durham,NC,368.25,580.9,1997
SMF,Sacramento International,Sacramento,CA,199.89,315.33,1997
BNA,Nashville International,Nashville,TN,228.89,361.07,1997
STL,St Louis Lambert International,St. Louis,MO,258.47,407.73,1997
MCI,Kansas City International,Kansas City,MO,201.01,317.09,1997
DAL,Dallas Love Field,Dallas-Love Field,TX,78.11,123.21,1997
IAD,Washington Dulles International,Washington-Dulles,DC,425.21,670.75,1997
HNL,Daniel K Inouye International,Honolulu,HI,105.56,166.51,1997
IND,Indianapolis International,Indianapolis,IN,254.62,401.65,1997
CLE,Cleveland-Hopkins International,Cleveland,OH,297.17,468.77,1997
MSY,Louis Armstrong New Orleans International,New Orleans,LA,189.15,298.37,1997
PIT,Pittsburgh International,Pittsburgh,PA,396.77,625.89,1997
SNA,John Wayne Airport-Orange County,Santa Ana,CA,302.98,477.95,1997
HOU,William P Hobby,Houston-Hobby,TX,119.18,188,1997
CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,441.69,696.76,1997
SAT,San Antonio International,San Antonio,TX,187,294.99,1997
CMH,John Glenn Columbus International,Columbus,OH,252.07,397.64,1997
MKE,General Mitchell International,Milwaukee,WI,326.3,514.73,1997
BDL,Bradley International,Hartford,CT,384.26,606.16,1997
SJU,Luis Munoz Marin International,San Juan,PR,269.19,424.64,1997
RSW,Southwest Florida International,Fort Myers,FL,312.26,492.58,1997
JAX,Jacksonville International,Jacksonville,FL,269.39,424.95,1997
BUR,Bob Hope,Burbank,CA,135.24,213.34,1997
BUF,Buffalo Niagara International,Buffalo,NY,356.94,563.07,1997
PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,316.11,498.65,1997
ONT,Ontario International,Ontario,CA,196.68,310.26,1997
OMA,Eppley Airfield,Omaha,NE,244.23,385.27,1997
